"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267)";"Médico Hospitalar";"Pequeno";"1";"1";" 408,16";" 408,16";" 561,22";" 509,34";"  457,63";" 355,33";" 152,28";" 152,28";"  50,76";" 152,28";" 151,77";" 151,26";"202208";"13/09/2022 15:15:14"
"PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA (302147)";"Médico Hospitalar";"Grande";"11";"7";"   9,89";"  12,72";"  12,59";"  19,01";"   20,34";"  20,26";"  12,85";"  10,26";"   9,33";"   9,44";"   9,74";"   9,23";"202208";"13/09/2022 15:15:14"
"PROASA - PROGRAMA ADVENTISTA DE  SAÚDE (310522)";"Médico Hospitalar";"Médio";"203";"143";"0,00";"   0,99";"   0,99";"   0,99";"    0,66";"   0,66";"   0,66";"0,00";"   0,33";"   0,33";"   0,33";"   0,67";"202208";"13/09/2022 15:15:14"
"PROMED ASSISTENCIA MEDICA LTDA (348805)";"Médico Hospitalar";"Grande";"4";"4";"  14,26";"  20,37";"  24,62";"  25,16";"   19,14";"  13,22";"   8,39";"   8,98";"   8,28";"   8,24";"   8,31";"   8,55";"202208";"13/09/2022 15:15:14"
"PROMED BRASIL ASSISTÊNCIA MÉDICA LTDA. (346471)";"Médico Hospitalar";"Pequeno";"25";"29";"  19,13";"  23,49";"  26,65";"  20,20";"   14,61";"  10,68";"   7,60";"  11,40";"   9,02";"  11,89";"   9,07";"  10,50";"202208";"13/09/2022 15:15:14"
"PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A. (326861)";"Médico Hospitalar";"Médio";"38";"35";"   6,34";"   8,29";"   9,07";"   7,64";"    6,02";"   6,24";"   6,11";"   5,87";"   4,83";"   5,06";"   5,86";"   6,21";"202208";"13/09/2022 15:15:14"
"PRONTO SOCORRO CONDE DE MOREIRA LIMA (417475)";"Médico Hospitalar";"Pequeno";"56";"186";"   6,73";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A (305626)";"Médico Hospitalar";"Pequeno";"78";"85";"   3,75";"   3,71";"   1,83";"   1,81";"0,00";"   0,89";"   1,77";"   2,64";"   3,50";"   2,61";"   2,66";"   0,88";"202208";"13/09/2022 15:15:14"
"PRONTOMED PLANOS DE SAÚDE LTDA (301728)";"Médico Hospitalar";"Médio";"88";"121";"   2,13";"   1,45";"   1,23";"   0,50";"    0,50";"   0,75";"   1,25";"   1,25";"   1,26";"   1,76";"   2,26";"   2,26";"202208";"13/09/2022 15:15:14"
"QSAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA. (421669)";"Médico Hospitalar";"Pequeno";"29";"27";"  16,13";"  26,98";"  34,21";"  34,66";"   31,48";"  31,94";"  32,64";"  26,59";"  18,81";"  15,02";"  13,30";"  18,37";"202208";"13/09/2022 15:15:14"
"QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA. (418170)";"Médico Hospitalar";"Médio";"41";"42";"   6,10";"   6,65";"   6,61";"   6,25";"    4,87";"   5,73";"   5,73";"   5,63";"   5,26";"   4,48";"   6,29";"   5,31";"202208";"13/09/2022 15:15:14"
"RBS PARTICIPAÇÕES S/A (418862)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (331317)";"Médico Hospitalar";"Médio";"82";"62";"   2,39";"   4,33";"   6,23";"   7,65";"    7,21";"   6,55";"   5,68";"   5,87";"   4,81";"   4,38";"   3,53";"   3,73";"202208";"13/09/2022 15:15:14"
"RIO DOCE SAÚDE (421359)";"Médico Hospitalar";"Pequeno";"134";"102";"   1,36";"   2,80";"   1,47";"   1,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA (420271)";"Médico Hospitalar";"Pequeno";"142";"118";"   1,05";"   2,11";"   2,13";"   3,24";"    1,09";"   2,20";"   2,23";"   5,68";"   8,01";"   7,99";"   9,04";"  10,08";"202208";"13/09/2022 15:15:14"
"RN METROPOLITAN LTDA (414131)";"Médico Hospitalar";"Médio";"17";"17";"  11,26";"  14,02";"  17,66";"  16,61";"   15,67";"  13,92";"  13,23";"  13,21";"  10,73";"   9,39";"   9,46";"  10,75";"202208";"13/09/2022 15:15:14"
"SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A (335614)";"Médico Hospitalar";"Médio";"33";"37";"   7,00";"   7,27";"   8,13";"   7,38";"    8,38";"   8,29";"   8,88";"   8,97";"  10,18";"   9,63";"  10,84";"   9,07";"202208";"13/09/2022 15:15:14"
"SAMEL PLANO DE SAÚDE LTDA (367095)";"Médico Hospitalar";"Grande";"55";"66";"   3,05";"   2,85";"   2,96";"   2,55";"    1,87";"   0,93";"   0,85";"   1,46";"   2,09";"   2,63";"   2,75";"   1,96";"202208";"13/09/2022 15:15:14"
"SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA. (415901)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SAMI ASSISTÊNCIA MÉDICA LTDA (422398)";"Médico Hospitalar";"Pequeno";"21";"31";"  24,49";"  20,65";"  18,38";"  19,19";"   16,27";"  15,41";"  10,87";"  14,01";"  15,86";"  20,70";"  24,48";"  26,10";"202208";"13/09/2022 15:15:14"
"SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA (340162)";"Médico Hospitalar";"Pequeno";"34";"44";"  12,58";"   8,46";"   9,97";"  10,05";"   10,10";"   5,78";"   2,89";"   2,90";"   7,25";"  10,18";"  10,18";"   4,37";"202208";"13/09/2022 15:15:14"
"SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA (343676)";"Médico Hospitalar";"Pequeno";"116";"105";"   1,80";"   2,73";"   7,34";"   7,39";"   11,13";"   7,43";"   8,37";"   6,54";"   9,35";"   6,56";"   6,54";"   4,66";"202208";"13/09/2022 15:15:14"
"SAMP ESPÍRITO SANTO ASSISTÊNCIA MÉDICA S.A. (342033)";"Médico Hospitalar";"Grande";"34";"38";"   5,59";"   6,33";"   6,43";"   6,50";"    6,63";"   6,99";"   6,63";"   6,59";"   6,82";"   7,70";"   7,05";"   6,33";"202208";"13/09/2022 15:15:14"
"SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MAUÁ SAÚDE (421197)";"Médico Hospitalar";"Médio";"10";"14";"  16,23";"  14,81";"  16,51";"  14,68";"   17,76";"  18,33";"  17,81";"  16,49";"  16,63";"  17,88";"  16,78";"  15,25";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA (342807)";"Médico Hospitalar";"Médio";"72";"79";"   2,72";"   2,91";"   2,33";"   2,52";"    1,75";"   1,75";"   1,36";"   1,16";"   0,78";"   0,58";"   0,97";"   0,77";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA (345091)";"Médico Hospitalar";"Médio";"173";"180";"   0,46";"   0,46";"   0,46";"0,00";"0,00";"0,00";"   0,47";"   0,46";"   0,93";"   0,46";"   0,46";"   0,46";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MISERICORDIA DE SÃO JOSÉ DO RIO PARDO - HOSPITAL SÃO VICENTE (353264)";"Médico Hospitalar";"Pequeno";"173";"137";"0,00";"   1,38";"   1,37";"   1,37";"    2,74";"   2,74";"   2,73";"0,00";"   1,35";"   1,35";"   2,69";"   1,34";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MISERICÓRDIA DE TUPÃ (306045)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA (330116)";"Médico Hospitalar";"Pequeno";"46";"50";"   7,68";"   7,68";"   1,92";"   1,92";"    1,92";"   1,92";"   1,27";"   0,63";"   0,63";"   0,63";"   1,90";"   2,58";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS (344915)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SANTA CASA DE SAÚDE - SCS (420085)";"Médico Hospitalar";"Pequeno";"75";"101";"   4,21";"   2,81";"   4,20";"   5,59";"    6,96";"   5,55";"   5,54";"   2,77";"   1,38";"   1,38";"   2,73";"   4,07";"202208";"13/09/2022 15:15:14"
"SANTA HELENA ASSISTÊNCIA MÉDICA S/A. (355097)";"Médico Hospitalar";"Grande";"31";"32";"   5,67";"   7,07";"   7,36";"   8,12";"    8,72";"  10,21";"  10,52";"  10,82";"  11,75";"  12,94";"  13,61";"  13,48";"202208";"13/09/2022 15:15:14"
"SANTA LUZIA ASSISTENCIA MEDICA S.A. (358509)";"Médico Hospitalar";"Pequeno";"16";"21";"  36,43";"  36,82";"  37,11";"  41,07";"   33,13";"  31,35";"  17,84";"  20,53";"  20,44";"  16,37";"  24,32";"  57,84";"202208";"13/09/2022 15:15:14"
"SANTA RITA SISTEMA DE SAUDE LTDA (413194)";"Médico Hospitalar";"Pequeno";"9";"12";"  70,34";"  65,65";"  51,22";"  39,03";"   25,29";"  30,49";"  26,56";"  26,94";"  19,46";"  22,54";"  20,92";"  21,91";"202208";"13/09/2022 15:15:14"
"SANTO ANDRÉ PLANOS DE ASSISTENCIA MÉDICA LTDA. (400190)";"Médico Hospitalar";"Médio";"2";"2";"  88,70";"  91,44";"  87,78";"  82,18";"   67,79";"  71,31";"  70,26";"  69,75";"  68,59";"  60,33";"  47,71";"  24,88";"202208";"13/09/2022 15:15:14"
"SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA (319180)";"Médico Hospitalar";"Pequeno";"164";"186";"   0,68";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,68";"   0,68";"   1,35";"   0,67";"   0,67";"202208";"13/09/2022 15:15:14"
"SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA (403962)";"Médico Hospitalar";"Médio";"90";"97";"   2,09";"   2,06";"   2,84";"   3,22";"    2,81";"   2,43";"   1,64";"   2,08";"   3,37";"   3,83";"   3,01";"   1,30";"202208";"13/09/2022 15:15:14"
"SÃO LUCAS SAÚDE S/A (344362)";"Médico Hospitalar";"Médio";"85";"83";"   2,24";"   2,81";"   3,02";"   3,69";"    3,89";"   4,78";"   4,41";"   3,94";"   3,45";"   3,84";"   3,99";"   3,20";"202208";"13/09/2022 15:15:14"
"SAUDE - SISTEMA ASSISTENCIAL UNIFICADO DE EMPRESAS - SOCIEDADE SIMPLES (410047)";"Médico Hospitalar";"Médio";"11";"10";"  14,49";"  17,01";"  20,84";"  22,84";"   22,36";"  18,30";"  19,82";"  21,61";"  22,19";"  18,48";"  14,71";"  13,76";"202208";"13/09/2022 15:15:14"
"SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA. (421154)";"Médico Hospitalar";"Médio";"4";"3";"  32,86";"  35,05";"  34,92";"  41,49";"   49,94";"  54,36";"  54,10";"  47,68";"  45,04";"  44,60";"  44,60";"  38,90";"202208";"13/09/2022 15:15:14"
"SAÚDE BRB - CAIXA DE ASSISTÊNCIA  (414310)";"Médico Hospitalar";"Pequeno";"173";"164";"0,00";"   0,91";"   0,91";"   1,84";"    1,85";"   1,86";"   0,93";"0,00";"   0,94";"   0,94";"   1,89";"   0,95";"202208";"13/09/2022 15:15:14"
"SAUDE CASSEB ASSISTENCIA MEDICA LTDA (418781)";"Médico Hospitalar";"Pequeno";"40";"22";"  10,00";"  32,84";" 103,79";" 180,13";"  147,62";" 134,10";"  99,69";"  89,75";"  86,69";"  89,32";" 102,24";"  76,17";"202208";"13/09/2022 15:15:14"
"SAUDE PAS - MEDICINA E ODONTO (409243)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"   0,86";"    0,85";"   0,86";"   0,86";"   1,28";"   1,28";"   0,43";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SAÚDE SANTA TEREZA LTDA. (414930)";"Médico Hospitalar";"Médio";"101";"109";"   1,71";"   1,70";"   1,28";"   0,43";"0,00";"0,00";"   0,43";"   0,43";"   1,74";"   1,30";"   1,30";"0,00";"202208";"13/09/2022 15:15:14"
"SAÚDE SIM LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL (320111)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"  78,57";"  95,91";"   98,53";"  36,73";"  29,42";"  41,58";"  45,83";"  48,23";"  46,11";"  46,07";"202208";"13/09/2022 15:15:14"
"SBC SAÚDE LTDA. (412058)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   4,66";"   4,67";"    6,29";"   1,61";"   1,64";"0,00";"0,00";"   1,75";"   3,54";"   3,58";"202208";"13/09/2022 15:15:14"
"SD-M OPERADORA DE PLANOS DE SAUDE LTDA (421634)";"Médico Hospitalar";"Pequeno";"138";"143";"   1,26";"   1,26";"   0,65";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SEPACO SAÚDE LTDA (407224)";"Médico Hospitalar";"Pequeno";"173";"36";"0,00";"  14,14";"  14,17";"  14,16";"0,00";"  42,47";"  42,43";"  42,25";"  14,09";"  28,24";"  28,29";"  42,45";"202208";"13/09/2022 15:15:14"
"SERMED-SAÚDE LTDA. (303739)";"Médico Hospitalar";"Médio";"174";"149";"   0,46";"   0,93";"   1,25";"   1,27";"    0,81";"   1,33";"   1,01";"   1,36";"   0,50";"   0,66";"   0,65";"   0,82";"202208";"13/09/2022 15:15:14"
"SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO) (345474)";"Médico Hospitalar";"Médio";"81";"81";"   2,40";"   2,87";"   2,38";"   3,32";"    3,78";"   4,70";"   3,27";"   2,78";"   3,22";"   5,49";"   6,38";"   5,00";"202208";"13/09/2022 15:15:14"
"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO (420077)";"Médico Hospitalar";"Médio";"120";"140";"   1,16";"   1,01";"   0,87";"   1,31";"    1,31";"   1,14";"   0,85";"   0,85";"   0,86";"   1,29";"   1,57";"   1,87";"202208";"13/09/2022 15:15:14"
"SIM - CAIXA DE ASSISTÊNCIA À SAÚDE (356476)";"Médico Hospitalar";"Pequeno";"129";"97";"   1,51";"   3,00";"   2,97";"   3,44";"    2,91";"   2,88";"   1,90";"   1,42";"   1,41";"   2,35";"   2,34";"   2,33";"202208";"13/09/2022 15:15:14"
"SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL (361011)";"Médico Hospitalar";"Médio";"65";"70";"   3,21";"   3,24";"   2,54";"   1,47";"    1,11";"0,00";"   0,75";"   0,75";"   1,90";"   1,15";"   2,74";"   1,99";"202208";"13/09/2022 15:15:14"
"SISTEMA TOTAL DE SAÚDE LTDA. (402001)";"Médico Hospitalar";"Pequeno";"141";"117";"   1,06";"   2,11";"   1,05";"   2,10";"    1,04";"   2,07";"   1,03";"   2,06";"   1,03";"   1,03";"0,00";"   1,03";"202208";"13/09/2022 15:15:14"
"SISTEMAS E PLANOS DE SAÚDE LTDA. (352586)";"Médico Hospitalar";"Médio";"92";"111";"   2,07";"   1,68";"   2,19";"   2,32";"    4,66";"   5,80";"   6,05";"   4,69";"   3,72";"   3,94";"   4,29";"   4,65";"202208";"13/09/2022 15:15:14"
"SOBAM CENTRO MÉDICO HOSPITALAR S.A. (326500)";"Médico Hospitalar";"Grande";"65";"57";"   2,42";"   3,71";"   4,03";"   4,84";"    4,35";"   4,56";"   3,84";"   3,62";"   3,30";"   3,94";"   4,47";"   3,29";"202208";"13/09/2022 15:15:14"
"SOCIEDADE BENECAP DE ASSISTÊNCIA À SAÚDE (415898)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,82";"   2,83";"   4,25";"   2,84";"   2,84";"   1,42";"   1,43";"202208";"13/09/2022 15:15:14"
"SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA (411809)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SOCIEDADE PORTUGUESA DE BENEFICÊNCIA (413372)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"SOCIEDADE PORTUGUESA DE BENEFICENCIA (422762)";"Médico Hospitalar";"Pequeno";"24";"30";"  20,23";"  21,17";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL (324493)";"Médico Hospitalar";"Médio";"175";"150";"   0,45";"   0,91";"   1,37";"   1,83";"    1,83";"   1,84";"   1,84";"   1,84";"   1,84";"   2,30";"   1,84";"   1,85";"202208";"13/09/2022 15:15:14"
"SUL AMERICA COMPANHIA DE SEGURO SAÚDE (006246)";"Médico Hospitalar";"Grande";"39";"42";"   5,18";"   5,78";"   5,96";"   6,29";"    6,03";"   6,16";"   5,95";"   6,25";"   6,10";"   6,16";"   6,43";"   6,43";"202208";"13/09/2022 15:15:14"
"SUL AMÉRICA SEGURADORA DE SAÚDE S.A. (000477)";"Médico Hospitalar";"Grande";"15";"21";"   8,52";"   8,91";"   9,62";"   9,01";"    7,40";"   6,22";"   6,80";"   7,40";"   7,38";"   7,15";"   8,81";"   8,76";"202208";"13/09/2022 15:15:14"
"SUL AMÉRICA SERVIÇOS DE SAÚDE S.A. (416428)";"Médico Hospitalar";"Grande";"29";"33";"   6,10";"   6,88";"   7,56";"   8,43";"    8,72";"   8,45";"   6,71";"   6,35";"   6,25";"   6,53";"   6,27";"   5,72";"202208";"13/09/2022 15:15:14"
"SULMED - ASSISTÊNCIA MÉDICA LTDA (338346)";"Médico Hospitalar";"Pequeno";"119";"125";"   1,70";"   1,75";"0,00";"0,00";"0,00";"0,00";"   0,90";"   0,91";"   0,93";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"S1 OPERADORA DE PLANO DE SAÚDE LTDA (420981)";"Médico Hospitalar";"Pequeno";"62";"83";"   5,70";"   3,87";"   4,19";"   6,03";"    7,03";"   7,21";"   3,99";"   3,35";"   5,06";"   5,16";"   5,40";"   2,81";"202208";"13/09/2022 15:15:14"
"TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL (316849)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  26,13";"202208";"13/09/2022 15:15:14"
"TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA (412759)";"Médico Hospitalar";"Médio";"37";"32";"   6,40";"   8,75";"  10,94";"  16,32";"   14,89";"  13,87";"   9,16";"   9,72";"  10,88";"  14,02";"  12,11";"   8,71";"202208";"13/09/2022 15:15:14"
"TRINO - ALIANCA FILANTRÓPICA DE ASSISTÊNCIA E INTEGRAÇÃO PARA O DESENVOLVIMENTO DA SAUDE (422827)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"TUIUIU ADMINISTRADORES DE PLANO DE SAUDE LTDA (412252)";"Médico Hospitalar";"Pequeno";"148";"158";"   0,99";"   0,99";"   0,99";"0,00";"    1,00";"   2,00";"   2,00";"   1,00";"   2,99";"   3,01";"   4,07";"   3,07";"202208";"13/09/2022 15:15:14"
"UNIAO DE CLINICAS RIO GRANDE LTDA (361852)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIÃO MÉDICA PLANOS DE SAÚDE S/A (414581)";"Médico Hospitalar";"Médio";"20";"20";"  10,91";"  12,77";"  13,29";"  14,79";"   10,51";"   9,74";"   7,69";"  10,02";"  10,42";"  12,22";"  11,91";"  12,14";"202208";"13/09/2022 15:15:14"
"ÚNICA ASSISTENCIA MEDICA LTDA  (421944)";"Médico Hospitalar";"Pequeno";"22";"24";"  22,47";"  28,65";"  28,35";"  27,80";"   23,16";"  29,20";"  31,55";"  32,78";"  28,40";"  28,16";"  27,19";"  24,76";"202208";"13/09/2022 15:15:14"
"UNIHOSP SAÚDE LTDA (385255)";"Médico Hospitalar";"Médio";"14";"8";"  12,96";"  20,31";"  24,17";"  24,79";"   21,06";"  20,44";"  19,67";"  21,05";"  20,80";"  21,22";"  18,70";"  17,46";"202208";"13/09/2022 15:15:14"
"UNIHOSP SERVIÇOS DE SAÚDE S.A (412538)";"Médico Hospitalar";"Médio";"36";"38";"   6,53";"   7,21";"   5,25";"   4,84";"    5,77";"   5,82";"   5,64";"   5,66";"   6,83";"   7,30";"   8,00";"  10,98";"202208";"13/09/2022 15:15:14"
"UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA. (306398)";"Médico Hospitalar";"Grande";"78";"82";"   1,27";"   1,09";"   1,28";"   1,35";"    1,11";"   0,74";"   1,11";"   2,42";"   2,99";"   4,32";"   4,14";"   4,27";"202208";"13/09/2022 15:15:14"
"UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA (313955)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   2,57";"    2,60";"   7,99";"   8,24";"   8,50";"   5,72";"   2,86";"   2,86";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO (354996)";"Médico Hospitalar";"Pequeno";"77";"59";"   3,91";"   6,86";"   5,89";"   6,86";"    3,92";"   0,98";"   0,97";"   1,94";"   1,95";"   3,93";"   3,95";"   6,92";"202208";"13/09/2022 15:15:14"
"UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO (324159)";"Médico Hospitalar";"Médio";"168";"89";"   0,49";"   2,52";"   3,09";"   3,16";"    1,06";"   0,53";"   1,06";"   1,07";"   1,07";"0,00";"   0,53";"   0,54";"202208";"13/09/2022 15:15:14"
"UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA. (343684)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   0,75";"   0,76";"    1,54";"   0,77";"   0,78";"0,00";"0,00";"0,00";"   0,80";"   0,81";"202208";"13/09/2022 15:15:14"
"UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (352519)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,04";"   1,04";"   1,04";"   1,04";"   1,04";"   1,05";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO (341819)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (348261)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   0,52";"    0,52";"   0,52";"   1,57";"   1,57";"   2,10";"   1,06";"   1,06";"   2,69";"202208";"13/09/2022 15:15:14"
"UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO (372561)";"Médico Hospitalar";"Pequeno";"173";"174";"0,00";"   0,68";"   0,68";"   0,68";"0,00";"0,00";"   0,69";"   0,70";"   0,70";"   1,42";"   1,43";"   1,44";"202208";"13/09/2022 15:15:14"
"UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO (345598)";"Médico Hospitalar";"Médio";"158";"181";"   0,67";"   0,45";"   1,14";"   1,14";"    0,68";"   0,23";"   0,91";"   1,14";"   1,39";"   1,18";"   1,20";"   1,68";"202208";"13/09/2022 15:15:14"
"UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO. (312347)";"Médico Hospitalar";"Médio";"43";"63";"   5,85";"   4,09";"   5,41";"   4,33";"    5,68";"   6,83";"   6,19";"   7,63";"   6,37";"   7,40";"   7,43";"   7,22";"202208";"13/09/2022 15:15:14"
"UNIMED ANDRADAS COOPERATIVA DE TRABALHO MÉDICO (352861)";"Médico Hospitalar";"Pequeno";"121";"130";"   1,65";"   1,66";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,77";"202208";"13/09/2022 15:15:14"
"UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO (348082)";"Médico Hospitalar";"Médio";"98";"96";"   1,87";"   2,10";"   1,89";"   0,71";"    0,95";"   1,42";"   1,42";"   1,43";"   1,42";"   2,12";"   1,65";"   1,42";"202208";"13/09/2022 15:15:14"
"UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO (358096)";"Médico Hospitalar";"Médio";"109";"100";"   1,47";"   1,97";"   1,97";"   0,99";"    0,50";"   0,50";"   0,99";"   1,49";"   1,49";"   0,99";"   0,99";"   1,49";"202208";"13/09/2022 15:15:14"
"UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO  (354325)";"Médico Hospitalar";"Pequeno";"93";"98";"   2,91";"   2,92";"   2,35";"   1,18";"    0,59";"   0,60";"   0,60";"   1,19";"   1,78";"   1,18";"   1,77";"   1,18";"202208";"13/09/2022 15:15:14"
